fid,CMAES,GWO,JADE,LBFGSB,LSHADE,MealpyGA,NLSHADE-RSP,PSO,SSA,SciPyDE,Spiral-LSHADE,jSO
1,1.0,10.0,4.0,12.0,3.0,9.0,6.0,7.0,11.0,8.0,5.0,2.0
2,3.0,11.0,1.5,12.0,1.5,10.0,5.0,6.0,9.0,8.0,7.0,4.0
3,1.0,8.0,7.0,12.0,4.0,10.0,5.0,9.0,11.0,6.0,3.0,2.0
4,1.0,10.0,4.0,12.0,2.0,9.0,5.0,7.0,11.0,8.0,6.0,3.0
5,11.0,10.0,6.0,4.0,7.0,1.0,2.0,9.0,3.0,12.0,5.0,8.0
6,7.0,6.0,2.0,12.0,5.0,8.0,4.0,9.0,10.0,11.0,3.0,1.0
7,6.0,10.0,5.0,12.0,1.0,9.0,3.0,7.0,8.0,11.0,4.0,2.0
8,7.0,8.0,2.0,12.0,1.0,4.0,3.0,9.0,11.0,10.0,6.0,5.0
9,7.0,8.0,3.0,12.0,4.0,5.0,2.0,9.0,11.0,10.0,6.0,1.0
10,9.0,8.0,3.0,12.0,4.0,1.0,2.0,6.0,10.0,11.0,7.0,5.0
11,8.0,9.0,2.0,12.0,5.0,4.0,1.0,6.0,10.0,11.0,7.0,3.0
12,9.0,10.0,4.0,12.0,5.0,1.0,2.0,3.0,8.0,11.0,7.0,6.0
13,5.0,7.0,2.0,11.0,6.0,8.0,3.0,9.0,10.0,12.0,1.0,4.0
14,6.0,8.0,1.0,11.0,4.0,10.0,2.0,7.0,9.0,12.0,3.0,5.0
15,5.0,8.0,1.0,12.0,4.0,7.0,2.0,9.0,11.0,10.0,6.0,3.0
16,10.0,8.0,3.0,12.0,4.0,2.0,1.0,6.0,9.0,11.0,7.0,5.0
17,3.0,8.0,5.0,6.0,4.0,11.0,7.0,9.0,12.0,10.0,1.0,2.0
18,3.0,10.0,4.0,6.0,5.0,9.0,7.0,8.0,12.0,11.0,1.0,2.0
19,6.0,7.0,2.0,9.0,1.0,10.0,5.0,8.0,12.0,11.0,3.0,4.0
20,3.0,10.0,5.0,7.0,4.0,9.0,6.0,8.0,12.0,11.0,2.0,1.0
21,3.0,10.0,4.0,12.0,5.0,8.0,6.0,7.0,11.0,9.0,2.0,1.0
22,6.0,9.0,5.0,11.0,1.0,8.0,4.0,7.0,12.0,10.0,2.0,3.0
23,8.0,11.0,1.5,10.0,3.0,9.0,4.0,6.0,7.0,12.0,5.0,1.5
24,8.0,3.0,6.0,12.0,5.0,9.0,1.0,10.0,2.0,11.0,7.0,4.0
25,10.0,8.0,5.0,12.0,4.0,7.0,6.0,9.0,1.0,11.0,3.0,2.0
26,6.0,7.0,1.0,12.0,5.0,8.0,3.0,9.0,11.0,10.0,2.0,4.0
27,7.0,8.0,5.0,12.0,6.0,9.0,2.0,10.0,1.0,11.0,4.0,3.0
28,9.0,6.0,5.0,12.0,3.0,10.0,7.0,11.0,1.0,8.0,4.0,2.0
29,6.0,10.0,5.0,8.0,3.0,11.0,7.0,9.0,1.0,12.0,4.0,2.0
30,5.0,9.0,4.0,8.0,6.0,10.0,7.0,12.0,1.0,11.0,3.0,2.0
