fid,CMAES,GA,GWO,JADE,LBFGSB,LSHADE,NLSHADE-RSP,PSO,SSA,SciPyDE,Spiral-LSHADE,jSO
1,1.0,10.0,9.0,5.0,12.0,2.0,6.0,8.0,11.0,7.0,3.0,4.0
2,3.0,10.0,9.0,6.0,12.0,2.0,5.0,8.0,11.0,7.0,1.0,4.0
3,4.0,12.0,10.0,5.0,7.0,1.0,6.0,9.0,11.0,8.0,2.0,3.0
4,9.0,2.0,6.0,5.0,12.0,10.0,1.0,3.0,11.0,4.0,8.0,7.0
5,11.0,9.0,6.0,4.0,8.0,2.0,1.0,10.0,7.0,12.0,5.0,3.0
6,6.0,8.0,7.0,3.0,12.0,5.0,2.0,9.0,10.0,11.0,4.0,1.0
7,5.0,8.0,9.0,4.0,12.0,3.0,6.0,7.0,11.0,10.0,1.0,2.0
8,7.0,4.0,8.0,3.0,12.0,1.5,1.5,9.0,11.0,10.0,6.0,5.0
9,7.0,6.0,8.0,3.0,12.0,2.0,4.0,9.0,11.0,10.0,5.0,1.0
10,10.0,3.0,9.0,5.0,12.0,1.0,2.0,7.0,11.0,8.0,6.0,4.0
11,9.0,8.0,6.0,4.0,12.0,3.0,2.0,7.0,10.0,11.0,5.0,1.0
12,7.0,6.0,10.0,1.0,12.0,5.0,2.0,3.0,9.0,11.0,4.0,8.0
13,3.0,9.0,7.0,5.0,11.0,6.0,2.0,8.0,10.0,12.0,1.0,4.0
14,8.0,9.0,6.0,5.0,11.0,3.0,1.0,7.0,10.0,12.0,2.0,4.0
15,6.0,9.0,7.0,1.0,12.0,2.0,5.0,8.0,11.0,10.0,4.0,3.0
16,10.0,7.0,5.0,4.0,12.0,3.0,2.0,8.0,9.0,11.0,6.0,1.0
17,4.0,9.0,10.0,6.0,12.0,5.0,3.0,8.0,11.0,7.0,1.0,2.0
18,6.0,10.0,11.0,5.0,12.0,3.0,4.0,8.0,9.0,7.0,2.0,1.0
19,7.0,10.0,8.0,5.0,12.0,1.0,4.0,9.0,11.0,6.0,2.0,3.0
20,5.0,9.0,10.0,7.0,12.0,2.0,4.0,8.0,11.0,6.0,3.0,1.0
21,2.0,10.0,9.0,6.0,12.0,5.0,4.0,8.0,11.0,7.0,3.0,1.0
22,10.0,8.0,9.0,5.0,12.0,4.0,1.0,6.0,11.0,7.0,3.0,2.0
23,5.0,4.0,3.0,8.5,11.0,8.5,1.0,6.0,2.0,12.0,10.0,7.0
24,7.0,8.0,6.0,3.0,12.0,2.0,4.0,9.0,11.0,10.0,5.0,1.0
25,2.0,9.0,10.0,4.0,12.0,7.0,1.0,6.0,8.0,11.0,3.0,5.0
26,4.0,9.0,7.0,3.0,12.0,6.0,2.0,8.0,11.0,10.0,1.0,5.0
27,8.0,10.0,9.0,6.0,12.0,5.0,1.0,11.0,3.0,7.0,2.0,4.0
28,7.0,10.0,8.0,6.0,12.0,5.0,3.0,11.0,1.0,9.0,2.0,4.0
29,11.0,6.0,10.0,9.0,12.0,7.0,2.0,8.0,1.0,5.0,3.0,4.0
30,10.0,12.0,11.0,7.0,8.0,6.0,3.0,9.0,1.0,5.0,4.0,2.0
